Czesotl_rad_s,Re,Im
0,0.0704387909108991,0
1e-20,0.0704387909108991,-3.85318654792594e-22
1e-19,0.0704387909108991,-3.85318654792594e-21
1e-18,0.0704387909108991,-3.85318654792594e-20
1e-17,0.0704387909108991,-3.85318654792594e-19
4.77281613777792e-17,0.0704387909108991,-1.83905509378098e-18
1e-16,0.0704387909108991,-3.85318654792594e-18
1e-15,0.0704387909108991,-5.41724189784669e-17
1e-14,0.0704387909108991,-6.82489171277536e-16
1e-13,0.0704387909108991,-6.73104839178012e-15
1e-12,0.0704387909108991,-6.7294843364302e-14
4.77281613777792e-12,0.0704387909108991,-3.21135725780144e-13
1e-11,0.0704387909108991,-6.72854590322025e-13
1e-10,0.0704387909108991,-6.72853026266675e-12
1e-09,0.0704387909108991,-6.72852400644535e-11
1e-08,0.0704387909108991,-6.72852385003982e-10
4.77281613777792e-08,0.0704387909108991,-3.21140075418072e-09
1e-07,0.0704387909108988,-6.72852391260201e-09
1e-06,0.070438790910867,-6.72852390947273e-08
1e-05,0.0704387909076848,-6.72852390872953e-07
4.77281613777792e-05,0.0704387908376783,-3.2114007486509e-06
0.0001,0.0704387905894702,-6.72852390044425e-06
0.001,0.070438758768012,-6.72852306640898e-05
0.00477281613777793,0.0704380587035533,-0.000321139159026453
0.01,0.0704355766292494,-0.000672843966507217
0.0477281613777793,0.0703655738345004,-0.00321048482022962
0.0552374540475169,0.0703407239193,-0.00371524546400375
0.0639282185102583,0.0703074406893769,-0.00429922448840403
0.0739863411948662,0.0702628627315941,-0.00497477678359878
0.0856269549029396,0.0702031582318078,-0.00575614117565225
0.0990990402760827,0.0701231962493935,-0.00665970386922552
0.1,0.0701174329670917,-0.00672009950237788
0.114690751233331,0.0700161069215182,-0.00770428519872681
0.132735578284308,0.0698726932854936,-0.00891144336830789
0.153619481544989,0.0696806450317653,-0.0103057823603233
0.177789146023868,0.0694234881265239,-0.0119152406172774
0.205761535750523,0.0690791826411691,-0.0137713200961807
0.23813495109949,0.0686182527052536,-0.0159091881161256
0.275601825814095,0.0680012951840368,-0.0183675410542242
0.318963537445326,0.0671756646987527,-0.0211880494927804
