Czesotl_rad_s,Amplituda,Faza_deg
0.1,0.070438726161228,-5.47454291154553
0.102915608379172,0.0704387223040275,-5.63424936920125
0.120011414336124,0.0704386973424602,-6.57085994564312
0.139947086722675,0.0704386630016341,-7.66345463050125
0.163194369389819,0.0704386153209056,-8.93818072379596
0.190303369825171,0.0704385480408432,-10.425669754075
0.221915576512993,0.0704384504636238,-12.1618677273653
0.258779038670392,0.0704383025631364,-14.1890565860984
0.301766067562416,0.0704380633576826,-16.5571335743163
0.351893878267597,0.0704376425750641,-19.3252508506597
0.410348660346306,0.0704368305838714,-22.5639780002665
0.478513647003428,0.0704351236119002,-26.3582543773032
0.558001846954445,0.0704312854679739,-30.8115810711463
0.650694213538995,0.0704222449541897,-36.0522231632076
0.758784154289185,0.0704003173193248,-42.2427421485053
0.88482943419605,0.0703462057654538,-49.595042843102
1,0.0702496993029041,-56.4664640533289
1.03181270087688,0.0702114719479278,-58.3941441585092
1.20321206386874,0.0698754488354947,-69.0335858520128
1.40308339818743,0.0690449733338546,-82.0568036051172
1.63615631972581,0.0670552928360342,-98.1573687464128
1.90794610358657,0.0626472379417585,-117.965322897774
2.22488419370663,0.0543526744440553,-141.315544052696
2.59447039206211,0.0423822069236442,-166.333059951724
3.02545032875292,0.0297211100803911,-190.138779460097
3.52802241249551,0.0193524691505921,-210.991894649689
4.11407915865579,0.0120823444812251,-228.792311359169
4.79748860544049,0.00736605339728775,-244.123813659457
5.59442247748375,0.00441915925041052,-257.575698058849
6.52373886226285,0.00261596958331677,-269.563418866752
7.60742845473137,0.00152929445811281,-280.343776735181
8.87113492979125,0.000883353727852728,-290.066745039727
10,0.000571378236128683,-296.970188975158
10.3447617563353,0.000504506430346422,-298.821089246558
12.0631798120848,0.00028518650496928,-306.666865260811
14.0670525437254,0.00015976122352015,-313.655672277638
16.4037981983569,8.8816367496882e-05,-319.841080616113
19.1287118958293,4.90664595533598e-05,-325.282126362496
22.3062740939043,2.6970424658076e-05,-330.042707567722
26.0116764088476,1.47662870832259e-05,-334.189163960649
30.3326008974083,8.05981889469492e-06,-337.787533991918
35.3712949038728,4.38898330690251e-06,-340.901257340411
41.2469905699261,2.38580274223997e-06,-343.589582648746
48.0987262609178,1.29517461799484e-06,-345.906658399193
56.0886366727931,7.0241092672319e-07,-347.901167885954
65.4057894744874,3.80656858886188e-07,-349.616347032407
76.2706592734149,2.0617609967286e-07,-351.090244638362
88.9403447728499,1.11626431357828e-07,-352.356118452517
100,6.98955694203547e-08,-353.199779374281
103.714652576376,6.04179206806706e-08,-353.442892974477
120.943191602312,3.26940399424419e-08,-354.375630987336
141.033645985382,1.76888942771221e-08,-355.175989836057
164.461422229821,9.56931129012969e-09,-355.862646462658
191.780898897409,5.1763342416091e-09,-356.45168366054
223.638545035209,2.79985601015783e-09,-356.956935258139
260.788217768338,1.51435709897215e-09,-357.390291034804
304.109001049343,8.1904092898598e-10,-357.761963865559
354.626007687904,4.42967292828427e-10,-358.08072240601
1000,7.00696634045754e-12,-359.31932851503
