Czesotl_rad_s,Re,Im
0.1,0.0760706034795832,-0.00745649270452755
0.104287003811773,0.0760336568056129,-0.00777446604415347
0.118518669090231,0.0758999783939122,-0.00882848248395317
0.134692477581123,0.0757275402569395,-0.0100231029592766
0.153073466452187,0.075505184725301,-0.0113760124240737
0.173962841522285,0.0752185957712804,-0.0129066151291162
0.197702913064692,0.074849440560799,-0.0146359524306879
0.22468270518137,0.0743743013802321,-0.0165864681206634
0.255344330668005,0.0737633628279544,-0.0187815404375394
0.290190235833504,0.0729788250019765,-0.0212446659791446
0.329791433993472,0.0719730302722974,-0.0239981357464121
0.37479686255837,0.0706863270018999,-0.0270609863671607
0.425944017049205,0.0690447600467169,-0.0304459414508569
0.484071036298386,0.0669577913647411,-0.0341549855395885
0.550130436873642,0.0643164349466441,-0.038173152652904
0.625204721788461,0.0609924591608767,-0.042460095664433
0.710524119276039,0.0568396773513634,-0.0469390871929709
0.807486742308714,0.051698795548591,-0.0514833663991643
0.917681499213151,0.0454077378429203,-0.0559002727719879
1,0.040462783465692,-0.0586611305989273
1.04291413081323,0.0378196717857406,-0.0599144235442296
1.1852368007664,0.0288309349256048,-0.0631521362828368
1.34698172398486,0.0184208229918994,-0.0651298814872766
1.53079938420409,0.00670594313106766,-0.0652491120230203
1.69242709740843,-0.0031947260110432,-0.0635831797804396
1.85437429926853,-0.0124876544661334,-0.0603679522660533
2.0044500177176,-0.0203412394881202,-0.0561180660323726
2.14434211578552,-0.0268440471619254,-0.0511632863980365
2.27561628295473,-0.0320959684881207,-0.0457493187948558
2.399693216645,-0.036194201778036,-0.0400644851135069
2.51785092073317,-0.0392292050405461,-0.0342586271349785
2.63123962433733,-0.0412850913418715,-0.0284555472398839
2.67134969274852,-0.0418039067746668,-0.0263747006195301
2.74090227261975,-0.0424416248469746,-0.0227607509508837
2.84779693283139,-0.042776469703019,-0.0172659925783774
2.95281946360426,-0.0423671141421051,-0.0120517299975494
3.05682595242821,-0.0412922668474033,-0.00718825423564062
3.16065510144916,-0.0396326943888361,-0.00273600945129451
3.26515116803044,-0.0374715408167445,0.00125455291714055
3.37118839133967,-0.0348941960455438,0.00474335658141181
3.47969815954524,-0.0319877843666823,0.007701165707966
3.5917005743873,-0.0288403405600138,0.0101100293062428
3.70834263359583,-0.0255397341429014,0.011963634152799
3.83094608329484,-0.0221723945822763,0.0132675180200016
3.96106924959996,-0.0188218825709994,0.0140391098679949
4.10058909147223,-0.0155673448779209,0.014307573068574
4.25181274056081,-0.0124818827893843,0.0141134324741247
4.41763261773264,-0.0096308568714022,0.0135079661203909
4.60174708891895,-0.00707014425948582,0.0125523366026695
4.80898181136821,-0.00484436045184044,0.0113164238746363
5.04576968320603,-0.00298505899953163,0.00987729777110804
5.32088795999505,-0.00150893624391128,0.00831723200462336
5.64662662380576,-0.000416106734300799,0.00672111013306064
6.04070900971121,0.000311400668599026,0.00517301241347678
6.52958751980046,0.000710613825816759,0.00375172174759814
7.1543993239553,0.00083746664128033,0.00252490697730718
8.07520882964548,0.000750224313138061,0.00146246911370106
9.17720298919189,0.000567953367619924,0.000806863926774259
10,0.000448825733123116,0.000537467746025156
10.4295822537298,0.000396154579584218,0.000439762146316142
11.8528691274915,0.000263602950160128,0.000237667229434544
13.4703867456627,0.000170243391445312,0.000127673317642479
15.3086410662266,0.000107764010259341,6.82832155742641e-05
17.3977552181283,6.72639516180529e-05,3.64000906529144e-05
19.771963123342,4.15635089603443e-05,1.93561547555392e-05
22.4701704817325,2.54938285923892e-05,1.02736117539816e-05
25.536592311466,1.5551644021513e-05,5.44512366526296e-06
29.0214774922234,9.44780119321739e-06,2.88282430692429e-06
32.9819321841724,5.7218232590516e-06,1.52498154986055e-06
37.4828556159085,3.45709420782607e-06,8.06178034450615e-07
42.5980035759478,2.0849897117381e-06,4.25972490112673e-07
48.4111970350068,1.25572925335434e-06,2.2499128012981e-07
55.0176957045365,7.55486828156611e-07,1.18801329070766e-07
62.5257590397559,4.54153791033803e-07,6.27158937173471e-08
71.0584202670497,2.72838462921551e-07,3.31022242484963e-08
80.7555025063854,1.63831482855111e-07,1.74693756544928e-08
91.7759100265683,9.83391222219758e-08,9.21831789253226e-09
100,6.98137946237561e-08,6.00316359824431e-09
