Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad
0,-0.14,0.11,0,0
0.01,-0.139,0.111,0,0
0.02,-0.138,0.112,0.000137633054038434,-0.000421383940336514
0.03,-0.137,0.113,0.000397587289056077,-0.00122635437881825
0.04,-0.135999903558553,0.113999704730253,0.000765385089747996,-0.00237880523135279
0.05,-0.134999528522012,0.114998550136474,0.00122735594792456,-0.00384427967890037
0.06,-0.133998617169206,0.115995728679886,0.00177060979695173,-0.00558992843459567
0.07,-0.132996845790552,0.116990213481609,0.0023830108290267,-0.00758446837790004
0.08,-0.13199383372032,0.117980781340621,0.00305315179310166,-0.00979814156289482
0.09,-0.130989151840357,0.118966034654292,0.0037703287713125,-0.0122026746080418
0.1,-0.129982330573315,0.119944422270196,0.00452451643180183,-0.0147712384749202
0.11,-0.128972867383042,0.120914259297678,0.00530634375584629,-0.0174784086436005
0.12,-0.12796023379947,0.121873745907344,0.0061070702372083,-0.0203001256924377
0.13,-0.126943881985022,0.122820985146381,0.00691856255163131,-0.0232136562901546
0.14,-0.125923250859216,0.123753999797343,0.00773327169438717,-0.0261975546081495
0.15,-0.124897771797793,0.12467074830772,0.00854421058376369,-0.0292316241609925
0.16,-0.123866873922418,0.125569139817331,0.00934493212835089,-0.0322968800830819
0.17,-0.122829988996627,0.126447048310299,0.0101295077559464,-0.0353755118494084
0.18,-0.121786555943395,0.127302325918008,0.0108925064018542,-0.0384508464483259
0.19,-0.120736024999371,0.1281328153992,0.0116289739542962,-0.0415073120141578
0.2,-0.119677861520504,0.128936361822988,0.0123344131545962,-0.0445304019273656
0.21,-0.118611549453459,0.129710823480286,0.0130047639497265,-0.0475066393898907
0.22,-0.117536594486911,0.130454082048805,0.0136363842947337,-0.0504235424831336
0.23,-0.116452526896481,0.131164052036437,0.0142260314024813,-0.0532695897158738
0.24,-0.115358904096769,0.131838689527514,0.0147708434380582,-0.0560341860692477
0.25,-0.114255312913626,0.132476000256084,0.0152683216551169,-0.0587076295456981
0.26,-0.113141371589473,0.133074047029987,0.0157163129713058,-0.0612810782285889
0.27,-0.112016731534217,0.133630956529186,0.0161129929798649,-0.0637465178589387
0.28,-0.110881078833944,0.134144925501427,0.0164568493943498,-0.0660967299354707
0.29,-0.109734135529304,0.134614226377939,0.0167466659233468,-0.0683252603439083
0.3,-0.108575660675196,0.135037212331547,0.0169815065719292,-0.0704263885211595
0.31,-0.107405451193037,0.135412321799157,0.0171607003665019,-0.0723950971597366
0.32,-0.10622334252663,0.135738082490238,0.0172838264995619,-0.0742270424574459
0.33,-0.105029209112324,0.136013114902524,0.0173506998907955,-0.0759185249170635
