Czas,Pozycja_X,Pozycja_Y,Kat_Alpha,Kat_Beta,Silownik_1,Silownik_2,Silownik_3
0,0.12,-0.1,0,0,0,0,0
0.01,0.12,-0.1,-0.000268328157299975,0.000223606797749979,6.70820393249938e-05,3.61726805692367e-05,-0.000103254719894231
0.02,0.12,-0.1,-0.000779492000579676,0.00064957666714973,0.000194873000144919,0.000105081462292167,-0.000299954462437085
0.03,0.119999811978627,-0.0999998433155224,-0.00150921135412838,0.00125767612844031,0.000377302838532094,0.000203453192440479,-0.000580756030972573
0.04,0.119999077756073,-0.0999992314633945,-0.00243438510087597,0.00202865425072997,0.000608596275218992,0.000328173664376384,-0.000936769939595375
0.05,0.119997286007564,-0.0999977383396366,-0.00353305835114275,0.00294421529261896,0.000883264587785688,0.000476283191649872,-0.00135954777943556
0.06,0.119993788450637,-0.0999948237088645,-0.00478439001932484,0.0039869916827707,0.00119609750483121,0.000644972237088805,-0.00184106974192001
0.07,0.119987815229252,-0.0999898460243765,-0.00616862081087831,0.00514051734239859,0.00154215520271958,0.000831577097200406,-0.00237373229991998
0.08,0.119978489517431,-0.0999820745978595,-0.00766704162209008,0.00638920135174173,0.00191676040552252,0.00103357564221954,-0.00295033604774206
0.09,0.119964841364886,-0.0999707011374046,-0.00926196235522656,0.0077183019626888,0.00231549058880664,0.00124858311215309,-0.00356407370095973
0.1,0.119945820806746,-0.0999548506722883,-0.0109366811517344,0.00911390095977871,0.00273417028793361,0.00147434796918094,-0.00420851825711455
0.11,0.11992031025927,-0.0999335918827253,-0.0126754540462301,0.0105628783718584,0.00316886351155752,0.00170874780678249,-0.00487761131834001
0.12,0.119887136223073,-0.0999059468525612,-0.0144634650440572,0.0120528875367144,0.00361586626101431,0.00194978531596338,-0.00556565157697769
0.13,0.119845080315148,-0.0998709002626236,-0.0162867966252176,0.0135723305210147,0.0040716991563044,0.00219558430896053,-0.00626728346526493
0.14,0.119792889650646,-0.099827408042205,-0.018132400677483,0.0151103338979025,0.00453310016937074,0.00244438580080415,-0.00697748597017489
0.15,0.11972928659508,-0.0997744054958998,-0.0199880698614877,0.0166567248845731,0.00499701746537194,0.00269454414911398,-0.00769156161448592
0.16,0.119652977907325,-0.0997108149227705,-0.0218424094105703,0.0182020078421419,0.00546060235264258,0.00294452325250296,-0.00840512560514554
0.17,0.119562663293474,-0.0996355527445613,-0.0236848093680865,0.0197373411400721,0.00592120234202162,0.00319289280795555,-0.00911409514997717
0.18,0.119457043391314,-0.0995475361594285,-0.0255054172648579,0.0212545143873816,0.00637635431621448,0.00343832462753951,-0.00981467894375399
0.19,0.119334827204876,-0.0994456893373968,-0.0272951112393417,0.0227459260327847,0.00682377780983542,0.0036795890147999,-0.0105033668246353
0.2,0.119194739008198,-0.099328949173498,-0.0290454736030162,0.0242045613358469,0.00726136840075406,0.00391555120117169,-0.0111769196019257
0.21,0.119035524737143,-0.0991962706142862,-0.0307487648533763,0.0256239707111469,0.00768719121334408,0.00414516784273335,-0.0118323590560774
0.22,0.1188559578878,-0.0990466315731669,-0.0323978981368105,0.0269982484473421,0.00809947453420262,0.00436748357760821,-0.0124669581118108
0.23,0.118654844939656,-0.0988790374497135,-0.0339864141635068,0.0283220118029224,0.00849660354087671,0.0045816276443025,-0.0130782311851792
0.24,0.118431030321461,-0.0986925252678839,-0.0355084565763912,0.029590380480326,0.0088771141440978,0.00478681056125052,-0.0136639247053483
0.25,0.118183400937341,-0.0984861674477838,-0.0369587477759495,0.0307989564799579,0.00923968694398737,0.00498232086781648,-0.0142220078118038
0.26,0.117910890270434,-0.0982590752253614,-0.0383325652026257,0.0319438043355214,0.00958314130065643,0.00516752192698096,-0.0147506632276374
