Czesotl_rad_s,Re,Im
0.1,0.029872461136346,-0.00261246318573477
0.107738871144737,0.0298519696691588,-0.00281393000150553
0.123375876580803,0.0298059186534101,-0.00322051440238692
0.141282405879608,0.0297455567689841,-0.00368519381290674
0.161787853219891,0.0296664478539306,-0.00421593972053201
0.185269420396237,0.0295627887750159,-0.00482164884671212
0.212159055521343,0.0294269943272658,-0.00551216042934129
0.242951398797717,0.0292491607985279,-0.00629821664182517
0.27821288152289,0.0290163765406673,-0.0071913275423526
0.318592145706126,0.0287118429571131,-0.00820348069936486
0.364831975967593,0.0283137670099546,-0.00934660326441192
0.417782963209625,0.0277939911791202,-0.0106316352460339
0.478419151406069,0.0271163480704466,-0.0120669994280535
0.547855955335494,0.026234783194924,-0.0136561463394423
0.627370678858572,0.0250914171022178,-0.0153937037289075
0.718426011177404,0.0236149850323774,-0.0172595729738134
0.822696933295202,0.0217206179723406,-0.0192101364499216
0.942101529625988,0.0193128979958467,-0.0211657361552205
1,0.0180654454840722,-0.0219962511851307
1.07883627154005,0.016295737257,-0.0229942041071809
1.23541642189297,0.0125948489201573,-0.0244924734141683
1.41472230378766,0.00820024393553495,-0.0253739149701773
1.62005228469244,0.00323319004396369,-0.0252795840443375
1.85518345056863,-0.00197428363262587,-0.0238438240802654
2.12444108612033,-0.00683649355768952,-0.0208409412407192
2.43277823926942,-0.0105958110008959,-0.0163863997382759
2.78586683346023,-0.0125840208124358,-0.011062002150888
3.19020200382275,-0.0125575858436404,-0.00579508022170034
3.6532215764792,-0.010852722215217,-0.00149151053433955
4.18344288883931,-0.00821691274364021,0.00133053858869522
4.79061946772114,-0.00545687554409833,0.00266123259743293
5.48592044742273,-0.00314883879503304,0.00286350392641489
6.28213602817568,-0.00153340640508033,0.00243161014769483
7.19391275443005,-0.000574645788148372,0.00178781837838747
8.23802294096139,-9.67009558365425e-05,0.00118850571031819
9.4336732029471,9.2456538529521e-05,0.000734309493192435
10,0.000123097357585266,0.000586636169139669
10.8028577654843,0.000137007417015606,0.000430093433144402
12.370763051748,0.000122943821146213,0.000242338343771946
14.1662309922706,9.28938213808403e-05,0.000132780016808778
16.2222895780072,6.42525138267565e-05,7.12980643272395e-05
18.5767604168185,4.21471677356679e-05,3.77294993467117e-05
21.2729544694928,2.67107261331445e-05,1.97548133583036e-05
24.3604687635099,1.65352122635204e-05,1.02633857390402e-05
27.896098740256,1.00686536094091e-05,5.30180140172692e-06
31.9448830184987,6.05887437018408e-06,2.72718735222988e-06
36.5812997927537,3.61464516990924e-06,1.39841038345368e-06
41.8906368745316,2.14278226364715e-06,7.15364528656357e-07
47.9705605786451,1.26426573840331e-06,3.65298987248184e-07
54.9329123145538,7.43300153132731e-07,1.86289243140703e-07
62.9057659314035,4.35850173265687e-07,9.49046307641219e-08
72.0357836620311,2.55059198722771e-07,4.83118925883771e-08
82.4909140039966,1.49034768229903e-07,2.45792219156638e-08
94.4634811657006,8.69833936272213e-08,1.24994354776206e-08
100,6.93485896602901e-08,9.40635450919028e-09
108.173722908566,5.07232815172912e-08,6.35428746329127e-09
123.873841864596,2.95591108280532e-08,3.2294784831525e-09
141.852644854102,1.72169884193013e-08,1.64101859751891e-09
162.440855544783,1.00243675366348e-08,8.33739384958563e-10
186.017198179565,5.83485919781278e-09,4.23543632622942e-10
213.01536428461,3.39552957630053e-09,2.15143723269867e-10
243.931990511455,1.97565596413958e-09,1.09277503476769e-10
279.335794367296,1.14936836694337e-09,5.55023245826346e-11
1000,7.00641883030076e-12,9.44387085529898e-14
2793.35794367296,1.15087686459149e-13,5.55305887226506e-16
10000,7.00713561675611e-16,9.44424592156094e-19
100000,7.00714278473898e-20,9.44424967219568e-24
279335.794367296,1.15089210364328e-21,5.55308741800733e-26
1000000,7.00714285641882e-24,9.44424971035354e-29
10000000,7.00714285713562e-28,9.44424970856396e-34
100000000,7.00714285714279e-32,9.44424972401425e-39
279335794.367296,1.15089210516734e-33,5.55308740096442e-41
1000000000,7.00714285714286e-36,9.44424975400538e-44
10000000000,7.00714285714286e-40,9.44424818683836e-49
100000000000,7.00714285714286e-44,9.44425740954042e-54
1000000000000,7.00714285714286e-48,9.4444741084224e-59
2793357943672.96,1.15089210516734e-49,5.55285887681491e-61
10000000000000,7.00714285714286e-52,9.44913053446994e-64
100000000000000,7.00714285714286e-56,9.47702401573699e-69
1e+15,7.00714285714286e-60,9.50701510562861e-74
1e+16,7.00714285714286e-64,1.4163441153174e-78
1e+17,7.00714285714286e-68,1.71625501423365e-83
2.79335794367297e+17,1.15089210516732e-69,2.81887266551424e-85
1e+18,7.00714285714286e-72,1.71625501423365e-87
1e+19,7.00714285714286e-76,1.71625501423365e-91
1e+20,7.00714285714286e-80,1.71625501423365e-95
