Czesotl_rad_s,Re,Im
0,0.0666666666666671,0
1e-20,0.0666666666666671,-1.15407574575894e-22
1e-19,0.0666666666666671,-1.15407574575894e-21
1e-18,0.0666666666666671,-1.15407574575894e-20
1e-17,0.0666666666666671,-1.15407574575894e-19
3.11230433817315e-17,0.0666666666666671,-3.59183495010597e-19
1e-16,0.0666666666666671,-8.55556257659337e-18
1e-15,0.0666666666666671,-7.81541389350993e-17
1e-14,0.0666666666666671,-8.18548823505165e-16
1e-13,0.0666666666666671,-8.20029120871332e-15
1e-12,0.0666666666666671,-8.20769269554415e-14
3.11230433817314e-12,0.0666666666666671,-2.55439047416778e-13
1e-11,0.0666666666666671,-8.20754466580754e-13
1e-10,0.0666666666666671,-8.20765568811e-12
1e-09,0.0666666666666671,-8.20765494796131e-11
1e-08,0.0666666666666671,-8.20765457788697e-10
3.11230433817314e-08,0.066666666666667,-2.55447188312143e-09
1e-07,0.0666666666666665,-8.20765455568247e-09
1e-06,0.0666666666666018,-8.20765455493845e-08
1e-05,0.0666666666601332,-8.20765455447746e-07
3.11230433817314e-05,0.0666666666033769,-2.55447188641351e-06
0.0001,0.066666666013277,-8.20765451073176e-06
0.001,0.0666666013276856,-8.20765013390391e-05
0.00311230433817314,0.0666660337670375,-0.000255445855965257
0.01,0.0666601330488378,-0.000820721246949638
0.0311230433817314,0.0666034029957379,-0.00255313959698977
0.0359798409015348,0.0665821295488671,-0.00295104291953062
0.0415945489463164,0.066553707919212,-0.00341075761907349
0.0480854405883076,0.0665157404260738,-0.00394177600627333
0.05558924558975,0.0664650284513717,-0.00455498833059559
0.0642640305970065,0.0663973074821011,-0.00526285580108244
0.074292528793276,0.0663068965370897,-0.00607958632609481
0.0858859891485991,0.0661862359144058,-0.00702130049558238
0.0992886263510914,0.0660252805365119,-0.00810616670109816
0.1,0.0660160967506319,-0.00816362325487256
0.114782765156608,0.0658107088666785,-0.00935447103683031
0.132694787521876,0.0655249003757108,-0.0107885676156811
0.153402007796658,0.065144629933824,-0.0124326253058007
0.177340620799941,0.0646394293634466,-0.0143120440833995
0.205014890205327,0.0639695821382332,-0.0164523543717499
0.237007770787708,0.0630837595676737,-0.0188773331121568
0.273993188287448,0.0619163961675466,-0.0216059723007396
0.316750235565755,0.0603850683647327,-0.0246478313127328
0.366179584091353,0.0583884230820691,-0.0279962274910684
0.423322456464221,0.0558056393672394,-0.0316187434776959
0.489382559630074,0.0524990069440301,-0.0354447869554845
0.565751440805799,0.0483218930755194,-0.0393506269828696
0.654037800235021,0.0431348863076988,-0.0431436711297358
0.756101378243066,0.0368327284432238,-0.0465498278589389
0.87409213041759,0.0293830326359865,-0.0492102787836501
1,0.0215177881051283,-0.0506379814674079
1.0104955161348,0.0208741814349701,-0.0506957868268857
1.16818485442801,0.0115646803580272,-0.0505461304645724
1.35048185006784,0.00192176411613925,-0.0483384514911578
1.56122656482793,-0.00736428607782673,-0.0437832457425301
1.80485830787136,-0.0154039026112866,-0.0368453109637444
2.08650914920301,-0.02119461704039,-0.0278882392415491
2.41211202603621,-0.0238260606102672,-0.0178185991637429
2.78852571931972,-0.0228668368130886,-0.00810822645051399
3.22367933303893,-0.0188274956570515,-0.000444030023975846
3.72673931972825,-0.0132306032411193,0.00406554654174552
4.3083025705649,-0.00789192233377111,0.00553179978788813
4.98061963746088,-0.00394967108664344,0.0050331909963688
5.75785278929664,-0.00157793382096837,0.0037689923018055
6.65637433821635,-0.000390140020172232,0.00250228855908708
7.69511152018836,9.32900152929877e-05,0.0015313624430025
8.8959451946933,0.000227621554972043,0.000884407017980934
10,0.000225999911818428,0.000550266352012421
10.2841707620957,0.000218982919925405,0.000489463437916127
11.8890310078613,0.000167915936196955,0.00026235518193174
13.7443320979128,0.000115576017939555,0.000137245412911323
15.8891557009825,7.46674692561481e-05,7.04760242817638e-05
18.3686822387246,4.62993579019647e-05,3.56798355927445e-05
21.2351426052406,2.79147963437756e-05,1.7869145696837e-05
24.5489184038613,1.65004326488533e-05,8.87582492497864e-06
28.3798138775255,9.61543045917142e-06,4.38127970994881e-06
32.8085263257996,5.54541789154292e-06,2.15248924987664e-06
37.9283459826742,3.17386854051569e-06,1.05373651983391e-06
43.8471211628361,1.80633612121157e-06,5.14465453368483e-07
50.6895300719591,1.02375457115665e-06,2.50670232293786e-07
58.599707136391,5.78423941271509e-07,1.21952304479752e-07
67.7442791755215,3.26057246589369e-07,5.92628390636789e-08
78.3158753733942,1.83482154357153e-07,2.87742367443311e-08
90.5371849866437,1.03118336307255e-07,1.39619806756393e-08
100,6.94269090103673e-08,8.50210574112381e-09
104.665648263831,5.78977037604173e-08,6.77145295969281e-09
120.998879389769,3.24844488451795e-08,3.28292243783053e-09
139.88093568842,1.82161672961981e-08,1.59119171575886e-09
161.709565144306,1.02109127404805e-08,7.71075493461968e-10
186.944584910476,5.7219235213448e-09,3.73599078820325e-10
216.117567295188,3.20569536038487e-09,1.80994622259008e-10
249.84303726132,1.79568303911165e-09,8.76776410843095e-11
288.831417312327,1.00573294783914e-09,4.24702273014201e-11
1000,7.00649612265526e-12,8.5414017425336e-14
2888.31417312327,1.00683531754623e-13,4.24937257181706e-16
10000,7.0071363895758e-16,8.54179592729125e-19
100000,7.00714279246716e-20,8.5417998692404e-24
288831.417312327,1.00684645611176e-21,4.24939631409605e-26
1000000,7.0071428564961e-24,8.54179990941853e-29
10000000,7.00714285713639e-28,8.54179991070245e-34
100000000,7.00714285714279e-32,8.54179991370517e-39
288831417.312327,1.00684645722573e-33,4.24939634082097e-41
1000000000,7.00714285714286e-36,8.54180013040409e-44
10000000000,7.00714285714286e-40,8.54179607379984e-49
100000000000,7.00714285714286e-44,8.54183641446725e-54
1000000000000,7.00714285714286e-48,8.54205311334922e-59
2888314173123.27,1.00684645722573e-49,4.24976677733096e-61
10000000000000,7.00714285714286e-52,8.5404859463273e-64
100000000000000,7.00714285714286e-56,8.54348505531646e-69
1e+15,7.00714285714286e-60,8.88465579868159e-74
1e+16,7.00714285714286e-64,1.71625501423365e-79
