Czesotl_rad_s,Amplituda,Faza_deg
0.1,0.00999949853086688,-3.37182346235318
0.115084290524676,0.00999933520310858,-3.88059162411495
0.134393434523746,0.00999909212701159,-4.53195187645511
0.156942317328843,0.00999875954047222,-5.2927556656901
0.183274510810982,0.00999830394099509,-6.18145843000812
0.214024788754865,0.00999767882632453,-7.21966695276579
0.249934428955081,0.00999681926460728,-8.43270049002877
0.291869082738121,0.00999563388419157,-9.85026510464174
0.34083964267965,0.00999399282066981,-11.507271335699
0.398026611562097,0.00999170917157644,-13.4448367898964
0.464808560019837,0.00998850976452932,-15.7115321670328
0.542795358882703,0.00998398791546423,-18.3649543160624
0.63386698732921,0.00997752517242395,-21.4737468932693
0.740218852373486,0.00996815862862217,-25.1202426759463
0.864414712174539,0.00995435119753562,-29.4039755980047
1,0.00993511029964075,-34.1164787073683
1.00944847895711,0.00993358687488497,-34.4464029550237
1.17881639138861,0.00990164856569898,-40.3972629699496
1.37660129622675,0.00985132269463825,-47.4429687147344
1.60757107096285,0.00977009339785636,-55.8169880162382
1.87729356007448,0.0096361729956686,-65.810385987627
2.19227079558373,0.00941226677619041,-77.7753861852132
2.56009573749277,0.00903802425113245,-92.1016260118479
2.98963531254064,0.00842842397465458,-109.121018726846
3.49124416368245,0.00749877738425646,-128.885968946873
4.07701426301676,0.00623804944877231,-150.862978916422
4.76106640542428,0.00478543055214117,-173.844838016539
5.55989060977354,0.00338610970755525,-196.385480184194
6.49274363353335,0.00223669548937723,-217.412973716004
7.58211318342914,0.00140061876910732,-236.424593094524
8.85426001258034,0.00084258555831892,-253.307695903421
10,0.000553583957295155,-265.106546570075
10.3398509721168,0.000491939504266614,-268.134096604889
12.074698277855,0.000280901264569531,-281.052371992543
14.1006228130759,0.000157789043359668,-292.243265259555
16.4664622785056,8.75781134050742e-05,-301.897865393312
19.2292484923438,4.81874142570744e-05,-310.203814376698
22.4555822207771,2.63472004800924e-05,-317.336596907782
26.2232386811606,1.43402044305109e-05,-323.455021075502
30.6230424207331,7.77934117729224e-06,-328.699752629999
35.7610567673984,4.21008545029876e-06,-333.193715641652
41.7611406322988,2.27448922106921e-06,-337.043446666628
48.7679342994291,1.22723361571571e-06,-340.340824476879
56.9503461788591,6.61561034259792e-07,-343.164856419775
66.5056245765541,3.56385549314321e-07,-345.583366082877
77.6641126364118,1.91891832239201e-07,-347.654518625381
90.6948010789403,1.03284830531454e-07,-349.428167208004
100,6.99157164077826e-08,-350.411853090052
105.911812592991,5.55779034299012e-08,-350.947026144376
123.681974195734,2.9900880996032e-08,-352.247685650468
144.433660103054,1.60843838319377e-08,-353.361485958668
168.667118279908,8.65127061641118e-09,-354.315268503568
196.966529606396,4.6528859246781e-09,-355.132020577873
230.014090362324,2.502307934653e-09,-355.831428116038
268.606457507942,1.34567873755739e-09,-356.430349466856
313.673953197016,7.23650795076617e-10,-356.943221326341
1000,7.00698714286496e-12,-359.041166512314
