Czesotl_rad_s,Amplituda,Faza_deg
0.01,0.066665185227778,-0.705391447927883
0.0311230433817314,0.0666523203828222,-2.19527122192594
0.0363353106845972,0.0666471147572623,-2.5628622629332
0.0424204916708488,0.0666400212194217,-2.99198089688789
0.0495247757537235,0.0666303559213259,-3.49291127736754
0.0578188351160034,0.0666171880250944,-4.07764804705228
0.0675019249111946,0.066599251108975,-4.7601758375852
0.0788066701374163,0.0665748233192127,-5.55679150064745
0.0920046541830927,0.0665415656899772,-6.48647386005715
0.1,0.0665189429774428,-7.04947092600342
0.107412943302771,0.066496304858622,-7.57130522886729
0.125401703766031,0.0664347425815789,-8.83694755994702
0.146403094672648,0.0663510702062661,-10.3131733845134
0.17092165007358,0.0662374621691162,-12.0344469014921
0.199546399816188,0.066083420009647,-14.040542696528
0.232965020302931,0.0658749399792322,-16.377177322491
0.2719803551191,0.0655934879112374,-19.0966110441963
0.317529702418511,0.0652147926219356,-22.2581527046152
0.3707073324242,0.0647075256135212,-25.9284712372585
0.432790776000975,0.0640320348748212,-30.1815891224149
0.505271515852269,0.0631394553025402,-35.0984220569261
0.589890817661683,0.0619717188974239,-40.7657666562972
0.688681561980843,0.0604631740901629,-47.2747726331952
0.804017081826126,0.058544543758335,-54.7192178089436
0.938668179250864,0.0561495564466038,-63.194328953163
1,0.0550201814976173,-66.9777224666955
1.09586969065003,0.053223549870829,-72.7972771677651
1.27939819995158,0.0497318223303655,-83.6302856302099
1.49366276666382,0.0456645396250938,-95.8054838053095
1.74381084841471,0.0410367310724386,-109.445807963932
2.03585196264938,0.0358885941890099,-124.667543400664
2.37680205831454,0.030301813610922,-141.520978693797
2.77485206589217,0.0244488386356411,-159.873129624049
3.23956467500125,0.0186541173666978,-179.273745234156
3.78210406692136,0.0133729688876238,-198.940656888011
4.41550412109541,0.00901921073755262,-217.974486522436
5.15498153896143,0.00577027612802097,-235.67123885269
6.01830140755041,0.00354108679807271,-251.674160612392
7.02620398509137,0.00210576586328134,-265.913811964403
8.20290296165269,0.00122299645495363,-278.475614125892
9.57666716495358,0.000697676014796666,-289.501866287287
10,0.000594868908499171,-292.328447904991
11.1804996861528,0.000392553811053919,-299.144767002538
13.0529307408241,0.000218534474807904,-307.550368742675
15.2389433126828,0.000120661676633075,-314.855026438203
17.7910538175811,6.62026411612529e-05,-321.185171452345
20.7705737494698,3.61483853304859e-05,-326.657361610938
24.2490826179074,1.96661071874053e-05,-331.378130141469
28.3101475627322,1.06698082294929e-05,-335.443840082846
33.0513309576424,5.77702144791503e-06,-338.940747159057
38.5865342330341,3.1231166130821e-06,-341.945334814292
45.0487342257189,1.68647745247565e-06,-344.524884863349
52.5931777931507,9.09932198084931e-07,-346.738206868192
61.40111143906,4.90646779750812e-07,-348.636447876233
71.6841355504259,2.64442305967525e-07,-350.263919743805
83.6892878512771,1.42477803558414e-07,-351.658900587439
97.7049781974011,7.67461011903966e-08,-352.854383878297
100,6.99455609511216e-08,-353.018250197244
114.06791728852,4.13320232523241e-08,-353.878761491289
133.171205752204,2.22566164205876e-08,-354.756435778634
155.473777930375,1.19836500898096e-08,-355.508361278042
181.511427244426,6.45190399081127e-09,-356.152519888199
211.909678010543,3.47347172796496e-09,-356.704335004945
247.398812935681,1.86991915103738e-09,-357.177030774302
288.831417312327,1.00662926769305e-09,-357.581942676141
1000,7.00701673118852e-12,-359.301559550553
