Czesotl_rad_s,Amplituda,Faza_deg
0.1,0.02998647859018,-4.99802323840215
0.101802664789005,0.0299859858987662,-5.08814964277901
0.118898976384428,0.0299808723295549,-5.94298069591685
0.138866370684548,0.0299738872559718,-6.94157427872545
0.162187005250147,0.0299643409261493,-8.10819419573789
0.189424009156006,0.0299512853078444,-9.47124940758692
0.221235081006604,0.0299334139823629,-11.0640303415907
0.258388370545406,0.029908920503607,-12.9255908626575
0.301781027354867,0.0298752959342681,-15.1018112784979
0.352460864547134,0.0298290359950094,-17.6466876708857
0.411651660563908,0.0297652119615424,-20.6239038977733
0.480782710054216,0.0296768337680976,-24.1087513780537
0.561523337402376,0.0295538944174924,-28.1904584743949
0.65582320631278,0.029381928306449,-32.9749516190956
0.765959398816884,0.0291398469616128,-38.5879388691127
0.894591400530759,0.0287967679813,-45.1778668111574
1,0.0284639313296205,-50.6038558750372
1.04482531990564,0.0283076457180696,-52.9175340792611
1.2202888921895,0.0276080657362934,-62.0016136004614
1.42521907923857,0.0266102524147833,-72.6347859438222
1.66456438047312,0.025206026665575,-85.0023424394751
1.94410432550494,0.0232874941273175,-99.215879571865
2.27058903385446,0.0207958079156895,-115.239793607792
2.65190221174014,0.0177878650853375,-132.834358593387
3.09725152186348,0.014471713398497,-151.571604509029
3.61739092309549,0.0111576725754619,-170.935925491919
4.22488034895554,0.00814621840692598,-190.430735124705
4.93438899540233,0.00563714512316956,-209.604926979931
5.76304954150166,0.00370546421723909,-228.020113945315
6.73087185642415,0.00232347454182645,-245.25051989168
7.86122618265706,0.00139898604788498,-260.948878501933
9.18140746297378,0.000815455722097777,-274.918838624971
10,0.000599412174039984,-281.850776430477
10.7232944381023,0.000463900913074203,-287.130497223988
12.5241194304856,0.000259355238993569,-297.679853692787
14.6273674022912,0.000143255446993899,-306.730972420016
17.0838259974429,7.84729236803959e-05,-314.469902703821
19.9528119232987,4.27420863036971e-05,-321.077639966375
23.3036032857114,2.31893320498909e-05,-326.717879249529
27.2171124644188,1.25469400730863e-05,-331.533389145529
31.7878399240956,6.77576513921203e-06,-335.646525855444
37.1261561402195,3.6542031113374e-06,-339.161358580291
43.3609667419757,1.96883507908058e-06,-342.166183680574
50.6428252280577,1.06005020864794e-06,-344.735915307506
59.1475684188758,5.704631102468e-07,-346.934180867108
69.0805624313264,3.06882660941882e-07,-348.815096216441
80.6816617047178,1.65045465552476e-07,-350.424749975447
94.2310008246633,8.87466950920335e-08,-351.802440819192
100,6.99836151754384e-08,-352.27561387589
110.055759001534,4.77134150475764e-08,-352.981710510827
128.538060546986,2.56498478946715e-08,-353.991209401319
150.124202123311,1.37878613023131e-08,-354.855424417265
175.335429578249,7.41114782573013e-09,-355.595293644902
204.780524596143,3.98342655136305e-09,-356.228726821697
239.170505098382,2.1409944085582e-09,-356.7710472827
279.335794367296,1.15070767398334e-09,-357.235367982811
1000,7.00705526560668e-12,-359.227763583302
