Czesotl_rad_s,Amplituda,Faza_deg
0.1,0.00249999211681293,-2.26150901911632
0.129082575340221,0.00249998678630712,-2.91932802762014
0.150735320920016,0.00249998188414764,-3.40914693423887
0.176020170909778,0.0024999751157614,-3.98120137746819
0.205546386726095,0.00249996573058494,-4.64932826219755
0.240025429345872,0.00249995264323079,-5.42971066715928
0.280288102604511,0.00249993425845083,-6.34128626584123
0.327304572168608,0.00249990818652457,-7.40623304284297
0.3822077425585,0.00249987076955771,-8.65055045131401
0.446320555511248,0.0024998162758675,-10.1047602397646
0.521187867462889,0.00249973550328857,-11.8047600432063
0.60861367426683,0.00249961331710174,-13.792875949715
0.710704580111789,0.00249942424824638,-16.1191798602987
0.829920558062301,0.00249912452958262,-18.8431669316451
0.969134225343112,0.00249863754229917,-22.0359326555476
1,0.00249850568717497,-22.7457402928091
1.13170006165926,0.00249782698876822,-25.7830549468781
1.32153523843009,0.00249644706723576,-30.1884819734615
1.54321400659101,0.00249404933152241,-35.3798566936117
1.80207791732272,0.00248980772346806,-41.5158622975888
2.1043645315765,0.00248218934027492,-48.7962726360351
2.45735771976843,0.00246833849126368,-57.4751530120286
2.86956317325003,0.00244295086150647,-67.8761680652763
3.35091335666374,0.00239634708418849,-80.4035993720494
3.91300683969612,0.00231173513462457,-95.5271469184255
4.56938777514476,0.0021634143954494,-113.683924985624
5.33587225757669,0.00192272723203935,-135.004496480605
6.23092942648639,0.00158198698015685,-158.870096751307
7.27612649697994,0.00118401461068219,-183.723665997312
8.49664844140395,0.000807716417248427,-207.679452710494
9.92190484411958,0.000511409939828589,-229.431700308139
10,0.000498939619276994,-230.461300539611
11.5862385521387,0.000307028122136225,-248.498759974551
13.5297531972024,0.000177801298627603,-264.918967260413
15.799279529198,0.000100516747747164,-278.942884874855
18.4495038455948,5.59211233059374e-05,-290.876889739872
21.5442857074315,3.07796411517226e-05,-301.020535372629
25.1581966934177,1.68202840615774e-05,-309.643697862085
29.3783172698256,9.14737765420606e-06,-316.980168859986
34.3063350733858,4.95818467567287e-06,-323.228464260506
40.0609951672159,2.68137456738861e-06,-328.555596236138
46.7809613109252,1.4477749463689e-06,-333.101668421355
54.6281571897948,7.80832375638643e-07,-336.984287275677
63.7916681129849,4.20793203363504e-07,-340.302405791633
74.4922971957294,2.26637689332207e-07,-343.139525410277
86.9878858108641,1.22016178156788e-07,-345.566312269336
100,6.99146844522189e-08,-347.447265122515
101.579526510799,6.56710407226712e-08,-347.642723436341
118.618818125932,3.53375891055826e-08,-349.419738609772
138.516337857678,1.90121806217109e-08,-350.940778699148
161.751534508907,1.02276855685745e-08,-352.242876196667
188.884281238134,5.50156949471271e-09,-353.357647629691
220.568366211586,2.95916631999222e-09,-354.312106721182
257.567246222638,1.59159580789519e-09,-355.129348017219
300.772442876389,8.56016279808644e-10,-355.829124129412
351.225024612155,4.60384698668802e-10,-356.428334829105
410.14069219269,2.47600850543799e-10,-356.941442559384
1000,7.00698713247702e-12,-358.745605357167
