Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad,Sterowanie_Ux,Sterowanie_Uy
0,0.12,0.12,0.0349065850398866,-0.0349065850398866,-0.135351650880759,0.111351650880759
0.01,0.1205,0.1195,0.0349065850398866,-0.0349065850398866,-0.132802679418069,0.109399331057969
0.02,0.121024459542803,0.118975540457197,0.0348930498747985,-0.0348954498747985,-0.13027776363377,0.107463638388999
0.03,0.121573378628409,0.118426621371591,0.0348662344417686,-0.0348733747766046,-0.127776794910667,0.105544517515203
0.04,0.122146747772534,0.117853250545752,0.0348263912323754,-0.0348405533145719,-0.125299664554783,0.103641912827948
0.05,0.122744548185222,0.117255443448015,0.0347737703434911,-0.0347971774007876,-0.12284626379585,0.101755768469109
0.06,0.123366751947766,0.116633223076849,0.0347086194881512,-0.0347434372957205,-0.120416483787891,0.0998860283316253
0.07,0.124013322187958,0.115986619826375,0.0346311840064319,-0.0346795216138065,-0.118010215609873,0.098032636060129
0.08,0.124684213253663,0.115315671353053,0.0345417068763337,-0.0346056173290593,-0.115627350266449,0.096195535051645
0.09,0.125379370884732,0.114620422443515,0.0344404287246745,-0.0345219097807061,-0.113267778688767,0.0943746684563528
0.1,0.126098732383262,0.113900924883549,0.0343275878379887,-0.0344285826788478,-0.110931391735361,0.0925699791784179
0.11,0.126842226782206,0.113157237328229,0.034203420173434,-0.0343258181101438,-0.108618080193119,0.0907814098768868
0.12,0.127609775012342,0.112389425173189,0.0340681593697058,-0.034213796543522,-0.106327734778316,0.0890089029666464
0.13,0.128401290067614,0.11159756042703,0.0339220367579583,-0.0340926968359125,-0.10406024613773,0.0872524006194477
0.14,0.129216677168845,0.110781721584865,0.0337652813727329,-0.0339626962380063,-0.101815504849822,0.08551184476499
0.15,0.130055833925832,0.109941993502989,0.0335981199628937,-0.0338239704000382,-0.0995934014259872,0.0837871770920687
0.16,0.130918650497838,0.109078467274677,0.0334207770025696,-0.0336766933775936,-0.0973938263118819,0.0820783390497815
0.17,0.131805009752475,0.108191240107106,0.0332334747021029,-0.0335210376374398,-0.0952166698888075,0.0803852718487962
0.18,0.132714787422998,0.10728041519939,0.033036433019005,-0.033357174063381,-0.0930618224751688,0.0787079164626753
0.19,0.133647852264008,0.106346101621729,0.0328298696689182,-0.0331852719621373,-0.0909291743279951,0.07704621362926
0.2,0.134604066205584,0.105388414195671,0.0326140001365839,-0.0330054990692474,-0.0888186156445254,0.0754001038521096
0.21,0.135583284505835,0.104407473375474,0.0323890376868168,-0.0328180215549945,-0.0867300365638578,0.0737695274019979
0.22,0.136585355901896,0.103403405130572,0.0321551933754852,-0.0326230040303564,-0.0846633271686595,0.0721544243184643
0.23,0.137610122759365,0.102376340829138,0.0319126760604973,-0.0324206095529781,-0.0826183774869388,0.0705547344114187
0.24,0.138657421220191,0.101326417122736,0.0316616924127925,-0.032210999633168,-0.0805950774938756,0.0689703972628
0.25,0.139727081349029,0.100253775832069,0.031402446927339,-0.0319943342399167,-0.0785933171137115,0.0674013522282868
0.26,0.14081892727805,0.0991585638338026,0.0311351419341361,-0.0317707718069392,-0.0766129862216965,0.0658475384390598
0.27,0.14193277735024,0.0980409329484718,0.0308599776092218,-0.0315404692387388,-0.0746539746460925,0.0643088948036143
0.28,0.143068444261171,0.0969010398294678,0.0305771519856854,-0.0313035819166945,-0.0727161721702314,0.062785360009623
0.29,0.144225735199269,0.0957390458530901,0.0302868609646843,-0.0310602637051699,-0.0707994685346277,0.0612768725258466
0.3,0.14540445198458,0.0945551170096692,0.0299892983264663,-0.0308106669576443,-0.068903753439144,0.0597833706040939
0.31,0.146604391206038,0.0933494237957522,0.0296846557413947,-0.0305549425228661,-0.0670289165452076,0.0583047922812272
0.32,0.147825344357253,0.0921221411073455,0.0293731227809793,-0.0302932397510275,-0.0651748474780794,0.0568410753812152
0.33,0.149067097970811,0.0908734481342139,0.0290548869289093,-0.0300257064999608,-0.0633414358291705,0.055392157517231
