Czesotl_rad_s,Re,Im
0.1,0.00705858333149024,-0.000389118666983681
0.101217393201538,0.00705827768347274,-0.000393848092597893
0.115214047401054,0.00705449855716522,-0.000448202553728071
0.131146202235237,0.00704960386324096,-0.000510022053061786
0.149281504718392,0.00704326501300906,-0.000580314584646387
0.169924612921805,0.00703505711897715,-0.000660216039186275
0.193422313977171,0.00702443110234674,-0.000751002473468867
0.220169349813375,0.00701067794504061,-0.000854101541063392
0.250615048494175,0.00699288302609652,-0.000971101797504752
0.285270872557767,0.00696986804727693,-0.00110375788902804
0.324719011164093,0.00694011760265825,-0.00125398860901175
0.369622160390855,0.00690168704895408,-0.00142386333339782
0.420734655979116,0.00685208811693973,-0.00161557026115439
0.478915145549386,0.00678814890199265,-0.00183135698869024
0.545141013170958,0.00670584587891945,-0.00207343002055822
0.620524798605295,0.0066001080450918,-0.00234379467775677
0.706332887053187,0.00646459819945282,-0.00264401046866642
0.804006783377945,0.0062914851599983,-0.00297482965661967
0.915187328193985,0.00607123534946808,-0.00333567955046412
1,0.00588757605429904,-0.00359866226454292
1.04174226263104,0.00579247491320954,-0.00372394433079218
1.18579760483922,0.00544200638177033,-0.00413400440674486
1.34977336533428,0.00500510722234124,-0.00455600735407045
1.53642420117119,0.00446628786706077,-0.00497438346742749
1.74888569190275,0.00381073405619468,-0.00536618880143761
1.99072701472069,0.00302668763559,-0.00569945840367806
2.2660109036784,0.00210902617468549,-0.00593186246615101
2.57936190026025,0.00106433551485053,-0.00601004623057986
2.88842093908949,6.6835092476793e-05,-0.00590226188560798
3.17867768484277,-0.000813046893135781,-0.00564587652821919
3.4501223791866,-0.00156526557636302,-0.00528244386995567
3.7052131771552,-0.00219391535342618,-0.00484406251840241
3.94632564608461,-0.00270577303761411,-0.00435552050251309
4.17568915897462,-0.00310852933729801,-0.00383623764036567
4.39536779505684,-0.00341001613242879,-0.0033017989889579
4.50469953967564,-0.0035276686464075,-0.00302659540955762
4.60726708181272,-0.00361795347519746,-0.00276504867569949
4.8131548984164,-0.0037399386117067,-0.00223681988376374
5.01468976553096,-0.00378352698081187,-0.00172639503545995
5.21345296034795,-0.00375632939843625,-0.00124177770312921
5.41098294119461,-0.00366609024835684,-0.000789838626268976
5.60881188204494,-0.00352073272491331,-0.000376380930485075
5.80850502517182,-0.00332836779289165,-6.15628747011124e-06
6.01170428796286,-0.00309726855392212,0.000317145896178543
6.2201782786341,-0.00283581386478736,0.000590920934020735
6.43588173414669,-0.0025524057788967,0.000813672306456365
6.66102855215263,-0.00225536541443582,0.000985028666297704
6.89818425571533,-0.00195281155736358,0.00110574917750297
7.1503862123523,-0.00165252586086468,0.00117771344351488
7.4213037141145,-0.00136180799094377,0.00120389320658428
7.71545591592442,-0.00108732354356212,0.00118830344134031
8.03851499371468,-0.000834947082638882,0.00113593042247738
8.39773712505695,-0.000609602328281188,0.00105263375016697
8.80258936726617,-0.000415101569167298,0.000945018048242508
9.26568438046579,-0.000253987171180538,0.000820267972406724
9.80421315619981,-0.000127380293827233,0.000685937217835607
10,-9.35146984664366e-05,0.000641327739878447
10.4422110059798,-3.48467396361191e-05,0.000549678643224071
11.2142740360164,2.57010739181211e-05,0.000418899489555965
12.1719223067139,5.80317139067361e-05,0.000300325815202699
13.3950759373001,6.7494934171446e-05,0.000199469892154573
13.8920388597903,6.66537008826556e-05,0.000169957557344
15.8130729617016,5.51137739192116e-05,9.47668970106577e-05
17.9997536010257,4.01842211621542e-05,5.19370499905729e-05
20.4888152026064,2.74103057484567e-05,2.81254677102267e-05
23.3220719411756,1.79570773728162e-05,1.5100961430768e-05
26.5471201848792,1.14572653674e-05,8.05732481957979e-06
30.2181380748667,7.17865211249624e-06,4.27915225738943e-06
34.3967956732202,4.44029257366685e-06,2.26468624886371e-06
39.1532909689531,2.72095885320011e-06,1.19539291242775e-06
44.5675291461239,1.65592468913629e-06,6.29709331081928e-07
50.7304649247907,1.00260095487464e-06,3.31209440556428e-07
57.7456305250265,6.04696905093427e-07,1.74002138140686e-07
65.7308749225234,3.63644953071869e-07,9.13302379848982e-08
74.8203436138412,2.18198563777232e-07,4.79041859893789e-08
85.1667321497198,1.30704187885851e-07,2.51131213800662e-08
