Czesotl_rad_s,Re,Im
0.1,0.0315287264040944,-0.00233230376324406
0.106832745736319,0.0315154446735223,-0.00249126156614787
0.121432755365079,0.0314841334054859,-0.00283064425878806
0.138028036010143,0.0314436991248484,-0.00321590283452981
0.156891266014178,0.0313914912086085,-0.00365307072106823
0.178332388571572,0.0313240939307438,-0.00414889573794427
0.202703704429079,0.0312371089676504,-0.00471088653220888
0.230405660566707,0.0311248783222411,-0.00534734174491861
0.261893429973077,0.0309801328600647,-0.00606734881467443
0.297684390628092,0.0307935490186682,-0.00688073279835216
0.338366626580621,0.0305531939337791,-0.00779792620776047
0.384608590803099,0.0302438379838964,-0.00882971753364442
0.437170088594126,0.0298461149576338,-0.00998681747004706
0.496914761998229,0.0293355160399853,-0.0112791562167956
0.564824280375238,0.0286812184439963,-0.012714790890119
0.642014470285635,0.0278447788457237,-0.0142982576162383
0.729753649723261,0.0267787749225282,-0.0160281481242802
0.829483467946588,0.0254255681710696,-0.0178936280156522
0.942842593329434,0.0237165048637002,-0.0198695502027874
1,0.0227904494125957,-0.0208027580503965
1.07169363844803,0.0215720904399641,-0.0219097644339127
1.21815376481266,0.0189039918204256,-0.0239381960075846
1.38462947011252,0.0156201875257906,-0.0258372627503645
1.57385612956582,0.0116353337858596,-0.0274331709286725
1.788942941082,0.00688993306733457,-0.0284774881846553
2.03072431124835,0.00144644241063983,-0.0286289712976432
2.22069127821512,-0.00278014891522382,-0.0279669645954661
2.39603213307425,-0.00653547547620419,-0.0267397349863153
2.55890109126639,-0.00980839393258292,-0.0250760073297423
2.7112634475231,-0.0126014705405316,-0.023080561240015
2.85487820284146,-0.0149242401909759,-0.0208403903312306
2.99130923083199,-0.0167900769329616,-0.0184297009190588
3.12194957963283,-0.0182150162500006,-0.0159135068794613
3.21045314509903,-0.0189586516436298,-0.0141243549718228
3.24805064369596,-0.0192175311068057,-0.0133500014727647
3.37075217107038,-0.0198187020377184,-0.0107919888230423
3.49111146246859,-0.0200424838171105,-0.00828763861842177
3.61013143549819,-0.0199159195698209,-0.00588077532077587
3.72878795887028,-0.0194692340894204,-0.00361086087380986
3.84805730225653,-0.018735781094969,-0.00151278731034013
3.96894487660944,-0.0177518413823525,0.000383436331494238
4.09251677382566,-0.0165562799178596,0.00205304160358926
4.21993604465284,-0.0151900750726367,0.00347685827506165
4.35250627224881,-0.0136957351340251,0.00464163955302231
4.49172592509626,-0.0121166173284899,0.00554033120025985
4.63935838439441,-0.0104961634933617,0.00617226717304746
4.79752472073787,-0.00887706449334814,0.00654327876315185
4.96882971337694,-0.00730036255448644,0.00666570671240245
5.15653706833402,-0.00580449689797959,0.00655830606123271
5.36481871882574,-0.00442429352934525,0.00624603080277124
5.59911806222253,-0.00318989528755449,0.00575967832949099
5.8666928513358,-0.00212562469109441,0.00513535997493765
6.17744969023402,-0.00124877301145152,0.00441374060342964
6.54526804541536,-0.00056832128049707,0.00363895371403608
6.9901790184069,-8.36360299269408e-05,0.00285704706794272
7.54210804011719,0.000216731981583069,0.00211375327795297
8.24764516348772,0.000355849148549218,0.00145133822727948
8.32097078165762,0.00036155755919715,0.0013969424517088
9.45813385554019,0.000356898015825801,0.000791712444128803
10,0.000327226817333011,0.000614141520601028
10.7507042599535,0.000281081019914214,0.000439418763367849
12.2199203194066,0.000200308654348744,0.000240507899731658
13.8899228368591,0.000135050848523399,0.000130364997344649
15.788151753126,8.79728843632832e-05,7.01721947823831e-05
17.9457970146723,5.60109908200816e-05,3.75793714136135e-05
20.3983110580412,3.51003106516983e-05,2.00485079326897e-05
23.1859913315867,2.17484289461333e-05,1.06652762156284e-05
26.3546424259713,1.33645736417581e-05,5.66135703638588e-06
29.9563286929459,8.16252130738449e-06,3.00020906120839e-06
34.0502297187492,4.96253851332654e-06,1.58793845727756e-06
38.7036127084761,3.00664414798701e-06,8.39643201661485e-07
43.9929377587395,1.81685523429779e-06,4.43641521840418e-07
50.005114179444,1.0956941245071e-06,2.34271972998045e-07
56.838928507394,6.59770822495921e-07,1.23656317812497e-07
64.6066676755376,3.96813517148899e-07,6.52475169900474e-08
73.4359640082654,2.38444543648022e-07,3.44189131197248e-08
83.4718923580261,1.43181251874993e-07,1.8152725362103e-08
94.8793538414732,8.59314181352699e-08,9.57234040600778e-09
100,6.96801579225774e-08,7.36133408645432e-09
